Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl6 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.14.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M II) - MB.C.22116.14.whorl1 - wh(6.2 mm)  - Bockwinkel 2013;6,2
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.14.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M II) - MB.C.22116.14.whorl2 - wh(3.8 mm)  - Bockwinkel 2013;3,8
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.14.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M II) - MB.C.22116.14.whorl3 - wh(2.7 mm)  - Bockwinkel 2013;2,7
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.14.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M II) - MB.C.22116.14.whorl4 - wh(2.2 mm)  - Bockwinkel 2013;2,2
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl1 - wh(7.0 mm) - Bockwinkel 2013;7
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl2 - wh(4.7 mm) - Bockwinkel 2013;4,7
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl3 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl4 - wh(2.4 mm) - Bockwinkel 2013;2,4
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl5 - wh(1.7 mm) - Bockwinkel 2013;1,7
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl1 - wh(13.6 mm) - Bockwinkel 2009;13,6
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl2 - wh(10.6 mm) - Bockwinkel 2009;10,6
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl3 - wh(7.8 mm) - Bockwinkel 2009;7,8
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl4 - wh(5.2 mm) - Bockwinkel 2009;5,2
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl5 - wh(3.5 mm) - Bockwinkel 2009;3,5
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl6 - wh(2.6 mm) - Bockwinkel 2009;2,6
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl1 - wh(17.3 mm) - Bockwinkel 2009;17,3
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl2 - wh(14.3 mm) - Bockwinkel 2009;14,3
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl3 - wh(11.0 mm) - Bockwinkel 2009;11
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl4 - wh(8.9 mm) - Bockwinkel 2009;8,9
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl5 - wh(7.0 mm) - Bockwinkel 2009;7
Bockwinkel et al 2009;Pharciceras lateseptatum;;MB.C.19107.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras lateseptatum - MB.C.19107.3.whorl6 - wh(5.0 mm) - Bockwinkel 2009;5
Bockwinkel et al 2009;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Frech 1902a;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. lateseptatum - MB.C.19108.whorl1 - wh(9.3 mm) - Bockwinkel 2009;9,3
Bockwinkel et al 2009;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Frech 1902a;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. lateseptatum - MB.C.19108.whorl2 - wh(7.1 mm) - Bockwinkel 2009;7,1
Bockwinkel et al 2009;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Frech 1902a;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. lateseptatum - MB.C.19108.whorl3 - wh(4.4mm) - Bockwinkel 2009;4,4
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl1 - wh(2.7 mm) - Bockwinkel 2013;2,7
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl2 - wh(2.4 mm) - Bockwinkel 2013;2,4
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl3 - wh(1.8 mm) - Bockwinkel 2013;1,8
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl4 - wh(1.7 mm) - Bockwinkel 2013;1,7
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl5 - wh(1.3 mm) - Bockwinkel 2013;1,3
Bockwinkel et al 2013;Pharciceras decoratum;;MB.C.22107.2.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras decoratum - MB.C.22107.2.whorl6 - wh(1.2 mm) - Bockwinkel 2013;1,2
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl1 - wh(11.7 mm) - Bockwinkel 2009;11,7
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl2 - wh(9.0 mm) - Bockwinkel 2009;9
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl3 - wh(6.1 mm) - Bockwinkel 2009;6,1
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl4 - wh(4.9 mm) - Bockwinkel 2009;4,9
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl5 - wh(3.9 mm) - Bockwinkel 2009;3,9
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl6 - wh(2.9 mm) - Bockwinkel 2009;2,9
Bockwinkel et al 2009;Pharciceras tridens;;MB.C.19104.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras tridens - MB.C.19104.1.whorl7 - wh(2.3 mm) - Bockwinkel 2009;2,3
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens - MB.C.22108.2 - wh(5.9 mm) - Bockwinkel 2013;5,9
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens  - MB.C.22108.1.whorl1 - wh(3.8 mm) - Bockwinkel 2013;3,8
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens  - MB.C.22108.1.whorl2 - wh(3.1 mm) - Bockwinkel 2013;3,1
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens  - MB.C.22108.1.whorl3 - wh(2.2 mm) - Bockwinkel 2013;2,2
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens  - MB.C.22108.1.whorl4 - wh(1.8 mm) - Bockwinkel 2013;1,8
Bockwinkel et al 2013;Pharciceras tridens aff;aff;MB.C.22108.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. tridens  - MB.C.22108.1.whorl5 - wh(1.6 mm) - Bockwinkel 2013;1,6
Bockwinkel et al 2013;Pharciceras fornix;;MB.C.22110.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras fornix - MB.C.22110.2.whorl1 - wh(8.0 mm) - Bockwinkel 2013;8
Bockwinkel et al 2013;Pharciceras fornix;;MB.C.22110.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras fornix - MB.C.22110.2.whorl2 - wh(6.0 mm) - Bockwinkel 2013;6
Bockwinkel et al 2013;Pharciceras fornix;;MB.C.22110.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras fornix - MB.C.22110.2.whorl3 - wh(4.0 mm) - Bockwinkel 2013;4
Bockwinkel et al 2013;Pharciceras fornix;;MB.C.22110.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras fornix - MB.C.22110.2.whorl4 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Pharciceras fornix;;MB.C.22110.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras fornix - MB.C.22110.2.whorl5 - wh(2.3 mm) - Bockwinkel 2013;2,3
Bockwinkel et al 2015 ;Pharciceras fornix aff;aff;MB.C.25100;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras aff. fornix - MB.C.25100 - wh(8.5 mm) - Bockwinkel 2015;8,5
Bockwinkel et al 2013;Pharciceras subconstans;;MB.C.22111.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras subconstans - MB.C.22111.1.whorl1 - wh(6.2 mm) - Bockwinkel 2013;6,2
Bockwinkel et al 2013;Pharciceras subconstans;;MB.C.22111.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras subconstans - MB.C.22111.1.whorl2 - wh(5.5 mm) - Bockwinkel 2013;5,5
Bockwinkel et al 2013;Pharciceras subconstans;;MB.C.22111.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras subconstans - MB.C.22111.1.whorl3 - wh(4.0 mm) - Bockwinkel 2013;4
Bockwinkel et al 2013;Pharciceras subconstans;;MB.C.22111.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras subconstans - MB.C.22111.1.whorl4 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Pharciceras subconstans;;MB.C.22111.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras subconstans - MB.C.22111.1.whorl5 - wh(2.1 mm) - Bockwinkel 2013;2,1
Bockwinkel et al 2013;Pharciceras involutum;;MB.C.22113.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras involutum - MB.C.22113.whorl1 - wh(21.2 mm) - Bockwinkel 2013;21,2
Bockwinkel et al 2013;Pharciceras involutum;;MB.C.22113.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras involutum - MB.C.22113.whorl2 - wh(16.1 mm) - Bockwinkel 2013;16,1
Bockwinkel et al 2013;Pharciceras involutum;;MB.C.22113.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pharciceras involutum - MB.C.22113.whorl3 - wh(11.1 mm) - Bockwinkel 2013;11,1
Bockwinkel et al 2013;Lunupharciceras incisum;;MB.C.22119.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras incisum - MB.C.22119.3.whorl1 - wh(5.1 mm) - Bockwinkel 2013;5,1
Bockwinkel et al 2013;Lunupharciceras incisum;;MB.C.22119.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras incisum - MB.C.22119.3.whorl2 - wh(4.2 mm) - Bockwinkel 2013;4,2
Bockwinkel et al 2013;Lunupharciceras incisum;;MB.C.22119.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras incisum - MB.C.22119.3.whorl3 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Lunupharciceras incisum;;MB.C.22119.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras incisum - MB.C.22119.3.whorl4 - wh(2.4 mm) - Bockwinkel 2013;2,4
Bockwinkel et al 2013;Lunupharciceras incisum;;MB.C.22119.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras incisum - MB.C.22119.3.whorl5 - wh(2.0 mm) - Bockwinkel 2013;2
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl1 - wh(6.8 mm) - Bockwinkel 2013;6,8
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl2 - wh(5.4 mm) - Bockwinkel 2013;5,4
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl3 - wh(3.3 mm) - Bockwinkel 2013;3,3
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl4 - wh(2.7 mm) - Bockwinkel 2013;2,7
Bockwinkel et al 2013;Stenopharciceras progressum;;MB.C.25108.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Stenopharciceras progressum - MB.C.25108.1.whorl1 - wh(17.1 mm) - Bockwinkel 2015;17,1
Bockwinkel et al 2013;Stenopharciceras progressum;;MB.C.25108.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Stenopharciceras progressum - MB.C.25108.1.whorl2 - wh(11.3 mm) - Bockwinkel 2015;11,3
Bockwinkel et al 2013;Stenopharciceras progressum;;MB.C.25108.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Stenopharciceras progressum - MB.C.25108.1.whorl3 - wh(6.7 mm) - Bockwinkel 2015;6,7
