Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;13,7;10,5;4,4;7,9;5,5;3,2;0,58;0,32;1,7;1,44;0,42
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,5;8,2;3,9;6,1;3,8;2,3;0,58;0,37;1,64;1,61;0,39
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,2;6,6;3,1;4,8;2,8;1,6;0,59;0,38;1,54;1,71;0,43
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,6;5,3;2,6;3,8;2,3;1,3;0,58;0,39;1,55;1,65;0,43
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,3;4,3;2,3;3,1;1,6;1;0,58;0,43;1,52;1,94;0,38
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;45;33,1;11,3;18,2;19,4;11,9;0,4;0,25;1,85;0,94;0,39
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;33,3;24,4;8,7;15,2;14,8;9;0,46;0,26;1,87;1,03;0,39
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;23,4;17,4;7,1;12;9,9;6;0,51;0,3;1,81;1,21;0,39
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,4;13,3;6,5;9,5;6,5;4,1;0,55;0,37;1,71;1,46;0,37
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;13,8;11;6,1;8;4,6;2,9;0,58;0,44;1,59;1,73;0,38
